,Train/G_loss,Train/D_loss,Train/L1,Train/FM,Train/Perceptual,Train/LPIPS,Train/TV,Train/GAN,Train/Lab_L,Train/Lab_ab,Train/SSIM,Train/Edge,Train/Color_hist,Train/Frequency,Train/PSNR,Val/L1,Val/Perceptual,Val/LPIPS,Val/Lab_L,Val/Lab_ab,Val/SSIM,Val/Edge,Val/TV,Val/Color_hist,Val/Frequency,Val/PSNR
0,310.6136779785156,3.2481119632720947,0.39757537841796875,28.333049774169922,2.3429064750671387,0.6569617986679077,0.20101970434188843,4.919547080993652,19.76218605041504,10.079597473144531,0.432933509349823,0.047356631606817245,0.12409474700689316,0.41917890310287476,12.072915077209473,,,,,,,,,,,
1,202.40670776367188,1.8700408935546875,0.39320433139801025,35.49345397949219,1.9183354377746582,0.6841784715652466,0.08042408525943756,7.451699733734131,19.089950561523438,7.886429786682129,0.37959274649620056,0.03866039961576462,0.1480395495891571,0.4408109486103058,12.259540557861328,,,,,,,,,,,
2,171.70339965820312,1.705106258392334,0.2968229651451111,21.667308807373047,1.8287115097045898,0.6924121379852295,0.05183874070644379,2.278538703918457,15.1578950881958,5.856716156005859,0.3678738474845886,0.036602992564439774,0.10251303017139435,0.3020085394382477,14.195913314819336,,,,,,,,,,,
3,168.37051391601562,1.548683762550354,0.29594331979751587,16.597991943359375,1.9534788131713867,0.7268523573875427,0.04449518397450447,2.2760603427886963,15.100661277770996,6.617380142211914,0.37150251865386963,0.04156468063592911,0.08102770149707794,0.3843294382095337,14.28477668762207,,,,,,,,,,,
4,172.02320861816406,1.4471818208694458,0.3099817633628845,19.64529037475586,1.8940539360046387,0.6974146366119385,0.0556982196867466,3.868523120880127,15.435697555541992,6.158089637756348,0.360687255859375,0.041451092809438705,0.05878346413373947,0.4210811257362366,13.997016906738281,,,,,,,,,,,
5,178.0233154296875,2.295616388320923,0.24236343801021576,19.1113224029541,1.7958576679229736,0.6787170171737671,0.04197075590491295,2.8828134536743164,11.974225997924805,5.191549301147461,0.3701908588409424,0.0326949767768383,0.057314496487379074,0.2514515519142151,15.833881378173828,,,,,,,,,,,
6,157.71368408203125,1.4537839889526367,0.2151082456111908,20.08734893798828,1.6705284118652344,0.6734994649887085,0.036506496369838715,3.5625689029693604,10.454021453857422,5.032711029052734,0.32016223669052124,0.02586228772997856,0.0514780692756176,0.18344852328300476,17.00108528137207,,,,,,,,,,,
7,153.19747924804688,1.107822060585022,0.2892836332321167,24.896915435791016,1.8837201595306396,0.7136102914810181,0.03145226836204529,3.693563222885132,14.341889381408691,5.453065872192383,0.36825498938560486,0.04148221015930176,0.09989583492279053,0.3919382393360138,14.604939460754395,,,,,,,,,,,
8,146.72525024414062,0.9703963398933411,0.2993077039718628,13.702905654907227,2.00113582611084,0.7133650183677673,0.041463516652584076,1.923096776008606,15.043622016906738,4.312676906585693,0.39589279890060425,0.042146872729063034,0.08744944632053375,0.362545907497406,14.4121732711792,,,,,,,,,,,
9,148.07156372070312,0.9502218961715698,0.2774342894554138,19.896804809570312,2.0538666248321533,0.7398055791854858,0.04477061331272125,2.83419132232666,14.167332649230957,4.672802925109863,0.41096925735473633,0.03908698633313179,0.07013535499572754,0.34752893447875977,15.12307071685791,0.3250350058078766,1.7312453985214233,0.7310899496078491,16.295984268188477,4.952516555786133,0.35035064816474915,0.028884852305054665,0.04090369492769241,0.07166602462530136,0.26417842507362366,13.876579284667969
10,156.6784210205078,1.0226612091064453,0.28003644943237305,25.552486419677734,1.7038779258728027,0.7045055031776428,0.038696177303791046,3.964444160461426,13.976103782653809,4.967120170593262,0.34421640634536743,0.0304720476269722,0.06803487986326218,0.30203166604042053,14.74610710144043,,,,,,,,,,,
11,142.16726684570312,0.897709310054779,0.2852087616920471,20.371545791625977,1.8228942155838013,0.7178529500961304,0.04467375576496124,3.376542568206787,14.161270141601562,5.9211530685424805,0.36245113611221313,0.029792439192533493,0.06957101821899414,0.22178423404693604,14.669880867004395,,,,,,,,,,,
